#Zeitstempel[ms];BeschleunigungX[m/s2];BeschleunigungY[m/s2];BeschleunigungZ[m/s2];GyroskopX[rad/s];GyroskopY[rad/s];GyroskopZ[rad/s]
1655820538224;-1,051543;3,210835;10,203111;0,185284;0,081908;-0,334754
1655820538235;-1,051543;3,210835;10,203111;0,185284;0,081908;-0,334754
1655820538245;-1,051543;3,210835;10,203111;0,185284;0,081908;-0,334754
1655820538255;-0,874276;3,020314;9,244596;0,530737;-0,128037;-0,399611
1655820538265;-0,874276;3,020314;9,244596;0,530737;-0,128037;-0,399611
1655820538275;-0,874276;3,020314;9,244596;0,530737;-0,128037;-0,399611
1655820538285;-0,847624;2,958055;8,855587;0,572398;-0,18024;-0,349363
1655820538295;-0,847624;2,958055;8,855587;0,572398;-0,18024;-0,349363
1655820538305;-0,847624;2,958055;8,855587;0,572398;-0,18024;-0,349363
1655820538315;-0,847624;2,958055;8,855587;0,299743;-0,024243;-0,244154
1655820538326;-0,767945;3,057836;8,053893;0,299743;-0,024243;-0,244154
1655820538336;-0,767945;3,057836;8,053893;0,299743;-0,024243;-0,244154
1655820538346;-0,767945;3,057836;8,053893;0,299743;-0,024243;-0,244154
1655820538356;-0,889522;3,216217;7,433431;0,064839;-0,003089;-0,241763
1655820538367;-0,889522;3,216217;7,433431;0,064839;-0,003089;-0,241763
1655820538377;-0,889522;3,216217;7,433431;0,064839;-0,003089;-0,241763
1655820538387;-0,760063;3,248415;7,097697;-0,087773;-0,034261;-0,251275
1655820538398;-0,760063;3,248415;7,097697;-0,087773;-0,034261;-0,251275
1655820538408;-0,760063;3,248415;7,097697;-0,087773;-0,034261;-0,251275
1655820538419;-1,011493;3,530394;6,869932;-0,151861;0,28859;-0,271451
1655820538430;-1,011493;3,530394;6,869932;-0,151861;0,28859;-0,271451
1655820538441;-1,011493;3,530394;6,869932;-0,151861;0,28859;-0,271451
1655820538451;-1,164942;3,629495;6,769979;-0,14296;0,245009;-0,272551
1655820538461;-1,164942;3,629495;6,769979;-0,14296;0,245009;-0,272551
1655820538471;-1,164942;3,629495;6,769979;-0,14296;0,245009;-0,272551
1655820538481;-1,164942;3,629495;6,769979;-0,14296;0,245009;-0,272551
1655820538491;-1,511479;3,926912;7,970604;-0,087685;-0,044785;-0,194796
1655820538502;-1,511479;3,926912;7,970604;-0,087685;-0,044785;-0,194796
1655820538512;-1,511479;3,926912;7,970604;-0,087685;-0,044785;-0,194796
1655820538522;-1,363565;4,098155;7,823782;-0,004206;-0,157551;-0,008063
1655820538532;-1,363565;4,098155;7,823782;-0,004206;-0,157551;-0,008063
1655820538543;-1,363565;4,098155;7,823782;-0,004206;-0,157551;-0,008063
1655820538553;-1,353471;4,134834;8,744506;-0,120375;0,160762;0,085888
1655820538563;-1,353471;4,134834;8,744506;-0,120375;0,160762;0,085888
1655820538573;-1,353471;4,134834;8,744506;-0,120375;0,160762;0,085888
1655820538583;-1,658674;4,465579;9,117341;-0,048799;0,071524;0,081507
1655820538593;-1,658674;4,465579;9,117341;-0,048799;0,071524;0,081507
1655820538604;-1,658674;4,465579;9,117341;-0,048799;0,071524;0,081507
1655820538614;-1,658674;4,465579;9,117341;-0,048799;0,071524;0,081507
1655820538624;-1,819948;4,59544;9,34657;-0,02433;0,075765;0,123796
1655820538634;-1,819948;4,59544;9,34657;-0,02433;0,075765;0,123796
1655820538644;-1,819948;4,59544;9,34657;-0,02433;0,075765;0,123796
1655820538654;-1,999139;4,672093;10,096224;0,029514;0,038083;0,23541
1655820538665;-1,999139;4,672093;10,096224;0,029514;0,038083;0,23541
1655820538675;-1,999139;4,672093;10,096224;0,029514;0,038083;0,23541
1655820538685;-1,742404;4,698898;10,461091;0,025325;-0,086848;0,321682
1655820538695;-1,742404;4,698898;10,461091;0,025325;-0,086848;0,321682
1655820538705;-1,742404;4,698898;10,461091;0,025325;-0,086848;0,321682
1655820538715;-1,742404;4,698898;10,461091;0,025325;-0,086848;0,321682
1655820538725;-1,984784;5,257543;10,530273;-0,030857;0,134652;0,249617
1655820538735;-1,984784;5,257543;10,530273;-0,030857;0,134652;0,249617
1655820538745;-1,984784;5,257543;10,530273;-0,030857;0,134652;0,249617
1655820538756;-2,381436;4,815563;11,726714;-0,219126;-0,240559;0,117286
1655820538766;-2,381436;4,815563;11,726714;-0,219126;-0,240559;0,117286
1655820538776;-2,381436;4,815563;11,726714;-0,219126;-0,240559;0,117286
1655820538786;-1,971051;3,792253;10,492589;-0,282953;0,215182;0,080268
1655820538797;-1,971051;3,792253;10,492589;-0,282953;0,215182;0,080268
1655820538807;-1,971051;3,792253;10,492589;-0,282953;0,215182;0,080268
1655820538817;-2,232584;3,359889;9,779672;-0,309744;0,43354;0,215443
1655820538827;-2,232584;3,359889;9,779672;-0,309744;0,43354;0,215443
1655820538837;-2,232584;3,359889;9,779672;-0,309744;0,43354;0,215443
1655820538847;-2,232584;3,359889;9,779672;-0,309744;0,43354;0,215443
1655820538858;-2,13308;3,023647;8,656427;0,114633;-0,000873;0,35034
1655820538868;-2,13308;3,023647;8,656427;0,114633;-0,000873;0,35034
1655820538878;-2,13308;3,023647;8,656427;0,114633;-0,000873;0,35034
1655820538888;-2,554489;3,242918;8,655862;0,183033;0,091438;0,325766
1655820538898;-2,554489;3,242918;8,655862;0,183033;0,091438;0,325766
1655820538908;-2,554489;3,242918;8,655862;0,183033;0,091438;0,325766
1655820538919;-2,715532;3,618261;8,777708;0,181043;-0,211569;0,334772
1655820538929;-2,715532;3,618261;8,777708;0,181043;-0,211569;0,334772
1655820538939;-2,715532;3,618261;8,777708;0,181043;-0,211569;0,334772
1655820538949;-1,905373;3,243636;8,669223;-0,128613;-0,166749;0,388161
1655820538959;-1,905373;3,243636;8,669223;-0,128613;-0,166749;0,388161
1655820538969;-1,905373;3,243636;8,669223;-0,128613;-0,166749;0,388161
1655820538980;-1,905373;3,243636;8,669223;-0,212372;0,107617;0,349991
